user_id,timestamp,hour_of_access,transaction_amount,data_volume_mb,geo_delta_km,is_anomaly
1043,2026-03-01 04:15:00,4,22.56,6.3,13.26,0
1066,2026-03-01 04:15:00,4,21.44,6.87,4.13,0
1014,2026-03-01 04:16:00,4,861.59,2.39,5.3,0
1029,2026-03-01 04:16:00,4,484.57,7.41,25.44,0
1055,2026-03-01 04:16:00,4,51.89,6.34,22.11,0
1054,2026-03-01 04:20:00,4,79.24,16.1,2.56,0
1018,2026-03-01 04:31:00,4,116.25,4.42,1.87,0
1006,2026-03-01 04:56:00,4,59.8,17.69,15.91,0
1009,2026-03-01 05:03:00,5,167.27,9.95,0.44,0
1046,2026-03-01 05:05:00,5,106.42,4.42,9.06,0
1052,2026-03-01 05:06:00,5,57.75,98.5,2.29,0
1068,2026-03-01 05:06:00,5,13.01,29.61,4.45,0
1071,2026-03-01 05:07:00,5,13.61,14.74,1.36,0
1001,2026-03-01 05:19:00,5,50.89,2.96,5.09,0
1049,2026-03-01 05:29:00,5,33.15,2.81,1.83,0
1049,2026-03-01 05:29:00,2,169.7,2373.35,0.87,1
1001,2026-03-01 05:37:00,5,57.26,8.7,8.2,0
1052,2026-03-01 05:39:00,5,48.47,12.18,1.64,0
1011,2026-03-01 05:47:00,5,38.24,9.03,5.24,0
1001,2026-03-01 05:47:00,5,12.41,5.63,16.48,0
1051,2026-03-01 05:52:00,5,34.66,3.67,10.97,0
1018,2026-03-01 06:02:00,6,38.9,7.26,2.5,0
1034,2026-03-01 06:04:00,6,31.12,31.09,28.11,0
1083,2026-03-01 06:04:00,6,22.48,3.19,13.22,0
1060,2026-03-01 06:06:00,6,72.92,31.67,2.51,0
1014,2026-03-01 06:10:00,6,147.99,7.17,4.85,0
1003,2026-03-01 06:11:00,6,89.24,0.76,4.77,0
1074,2026-03-01 06:12:00,6,65.7,16.76,25.17,0
1029,2026-03-01 06:15:00,6,87.21,2.85,41.64,0
1083,2026-03-01 06:26:00,6,27.95,3.37,23.17,0
1085,2026-03-01 06:26:00,6,143.58,30.94,3.2,0
1030,2026-03-01 06:26:00,6,29.96,7.24,15.02,0
1043,2026-03-01 06:34:00,6,72.46,123.2,1.26,0
1070,2026-03-01 06:35:00,6,25.9,4.41,0.04,0
1058,2026-03-01 06:40:00,6,6.53,16.89,0.92,0
1040,2026-03-01 06:45:00,6,11.4,12.69,18.48,0
1038,2026-03-01 06:54:00,6,43730.04,6.5,1674.88,1
1043,2026-03-01 07:02:00,7,15.33,4.38,26.48,0
1005,2026-03-01 07:05:00,7,25936.86,8.36,1762.99,1
1043,2026-03-01 07:07:00,7,183.31,12.26,3.42,0
1030,2026-03-01 07:12:00,7,366.1,6.33,41.92,0
1003,2026-03-01 07:14:00,1,28.79,830.31,24.94,1
1041,2026-03-01 07:20:00,7,79.72,333.34,3.55,0
1002,2026-03-01 07:22:00,7,42.47,3.16,19.58,0
1044,2026-03-01 07:23:00,7,87.22,18.86,4.21,0
1054,2026-03-01 07:23:00,7,42.77,14.07,14.27,0
1022,2026-03-01 07:25:00,7,35.48,39.03,3.12,0
1068,2026-03-01 07:29:00,7,63.66,2.0,7.83,0
1054,2026-03-01 07:38:00,7,226.34,5.21,5.84,0
1047,2026-03-01 07:47:00,7,18.85,12.17,13.17,0
1098,2026-03-01 07:52:00,7,16.67,13.05,4.65,0
1020,2026-03-01 07:57:00,7,15.92,8.71,18.98,0
1091,2026-03-01 08:06:00,8,38.94,2.37,1.86,0
1055,2026-03-01 08:13:00,8,35996.69,3.58,3828.91,1
1079,2026-03-01 08:16:00,8,496.75,20.62,7.76,0
1077,2026-03-01 08:17:00,8,57.55,11.2,1.83,0
1042,2026-03-01 08:20:00,8,25.68,9.15,0.05,0
1041,2026-03-01 08:30:00,8,19.37,21.92,3.23,0
1025,2026-03-01 08:30:00,8,415.89,1.34,11.3,0
1065,2026-03-01 08:31:00,8,25.45,8.65,10.67,0
1001,2026-03-01 08:38:00,8,73.86,6.25,10.46,0
1089,2026-03-01 08:39:00,8,62.31,2.49,13.99,0
1001,2026-03-01 08:46:00,8,248.11,16.46,41.07,0
1015,2026-03-01 08:47:00,8,17.39,1.95,29.67,0
1014,2026-03-01 08:47:00,8,28.55,9.14,4.88,0
1028,2026-03-01 08:48:00,8,221.21,21.12,9.6,0
1027,2026-03-01 08:53:00,8,20.16,24.69,7.88,0
1065,2026-03-01 09:08:00,9,18.72,2.16,7.58,0
1011,2026-03-01 09:11:00,9,47.69,2.87,18.54,0
1027,2026-03-01 09:17:00,9,71.7,1.15,3.16,0
1026,2026-03-01 09:19:00,9,37.68,5.33,0.25,0
1044,2026-03-01 09:19:00,9,55.63,5.89,5.73,0
1089,2026-03-01 09:20:00,9,18.3,6.31,15.43,0
1047,2026-03-01 09:22:00,9,19.14,8.34,4.57,0
1060,2026-03-01 09:25:00,9,78.21,4.71,3.57,0
1046,2026-03-01 09:25:00,9,234.39,8.42,3.25,0
1037,2026-03-01 09:25:00,9,40.3,0.75,11.22,0
1068,2026-03-01 09:27:00,9,55.26,3.05,25.61,0
1041,2026-03-01 09:29:00,9,79.12,4.09,8.17,0
1026,2026-03-01 09:30:00,9,101.05,4.24,0.98,0
1084,2026-03-01 09:42:00,9,77.88,2.76,5.62,0
1007,2026-03-01 09:49:00,9,12.78,4.76,2.82,0
1046,2026-03-01 09:50:00,9,46.0,4.06,9.83,0
1014,2026-03-01 09:51:00,9,28073.18,6.81,1827.16,1
1026,2026-03-01 09:54:00,9,102.14,0.55,11.61,0
1054,2026-03-01 09:57:00,9,59.96,2.6,30.68,0
1032,2026-03-01 09:57:00,9,36.25,13.79,22.31,0
1025,2026-03-01 09:58:00,9,146.28,6.71,2.48,0
1005,2026-03-01 10:05:00,10,47.98,1.9,6.6,0
1055,2026-03-01 10:15:00,10,47.02,4.98,3.93,0
1044,2026-03-01 10:15:00,10,93.1,5.5,38.35,0
1016,2026-03-01 10:32:00,10,32.93,6.39,4.38,0
1011,2026-03-01 10:33:00,10,58.83,4.68,2.85,0
1022,2026-03-01 10:34:00,10,13.71,2.45,5.67,0
1089,2026-03-01 10:36:00,10,43.73,7.62,1.57,0
1025,2026-03-01 10:39:00,10,17.63,9.55,34.96,0
1080,2026-03-01 10:41:00,10,29.96,3.95,1.31,0
1050,2026-03-01 10:42:00,10,139.15,8.98,8.4,0
1071,2026-03-01 10:52:00,10,13.68,17.99,0.99,0
1056,2026-03-01 10:53:00,10,45.73,8.39,11.32,0
1041,2026-03-01 10:58:00,10,10.88,1.63,1.47,0
1049,2026-03-01 11:00:00,11,28.76,15.7,0.62,0
1083,2026-03-01 11:02:00,11,17.49,9.28,6.92,0
1065,2026-03-01 11:03:00,11,307.48,5.66,36.91,0
1080,2026-03-01 11:05:00,11,71.0,1.15,5.06,0
1097,2026-03-01 11:06:00,11,92.89,22.2,2.95,0
1022,2026-03-01 11:09:00,11,170.45,1.5,1.26,0
1006,2026-03-01 11:11:00,11,88.23,18.65,7.68,0
1027,2026-03-01 11:24:00,11,19.97,18.36,18.05,0
1039,2026-03-01 11:30:00,11,90.77,2.69,27.91,0
1067,2026-03-01 11:33:00,11,92.94,1.98,12.73,0
1013,2026-03-01 11:34:00,11,74.76,8.61,1.77,0
1079,2026-03-01 11:40:00,11,5.37,8.3,0.11,0
1098,2026-03-01 11:44:00,11,24.83,5.31,2.52,0
1035,2026-03-01 11:53:00,11,48.24,5.12,6.04,0
1002,2026-03-01 11:56:00,11,75.59,12.95,4.16,0
1093,2026-03-01 12:02:00,12,87.17,9.41,1.65,0
1061,2026-03-01 12:10:00,12,58.1,10.42,13.66,0
1087,2026-03-01 12:10:00,12,31.95,4.44,11.64,0
1023,2026-03-01 12:11:00,12,124.64,4.63,4.22,0
1067,2026-03-01 12:17:00,12,31.07,1.51,5.57,0
1008,2026-03-01 12:40:00,12,14.25,8.1,10.73,0
1033,2026-03-01 12:43:00,12,70.86,52.43,4.35,0
1061,2026-03-01 12:45:00,12,10.81,1.97,0.2,0
1093,2026-03-01 12:45:00,12,57.22,37.27,62.19,0
1009,2026-03-01 12:57:00,12,43.23,4.58,2.2,0
1033,2026-03-01 13:04:00,13,20.02,2.9,7.51,0
1009,2026-03-01 13:08:00,13,13.04,10.44,21.64,0
1015,2026-03-01 13:12:00,13,13.63,6.54,21.27,0
1067,2026-03-01 13:14:00,13,98.72,8.57,58.54,0
1039,2026-03-01 13:16:00,13,53.24,19.05,33.34,0
1078,2026-03-01 13:17:00,13,177.4,3.16,6.02,0
1059,2026-03-01 13:19:00,13,251.67,6.49,1.91,0
1028,2026-03-01 13:21:00,13,29.03,10.43,6.98,0
1013,2026-03-01 13:35:00,13,86.49,5.87,0.11,0
1068,2026-03-01 13:38:00,13,49.63,9.85,7.54,0
1000,2026-03-01 13:43:00,13,53.58,22.97,12.12,0
1050,2026-03-01 13:44:00,13,45.37,10.06,16.09,0
1000,2026-03-01 14:00:00,14,185.88,15.18,14.92,0
1081,2026-03-01 14:23:00,14,12.64,12.93,0.25,0
1078,2026-03-01 14:23:00,14,9.35,1.28,1.25,0
1018,2026-03-01 14:24:00,14,84.8,9.27,15.18,0
1069,2026-03-01 14:25:00,14,80.47,3.61,9.75,0
1034,2026-03-01 14:28:00,14,34.34,9.01,20.2,0
1086,2026-03-01 14:28:00,14,78.33,1.19,14.41,0
1062,2026-03-01 14:29:00,14,88.35,4.64,0.17,0
1087,2026-03-01 14:46:00,14,101.44,7.02,0.0,0
1000,2026-03-01 14:48:00,14,41513.64,3.8,579.36,1
1070,2026-03-01 14:49:00,14,3.57,7.28,12.0,0
1042,2026-03-01 14:51:00,14,6.57,4.52,2.24,0
1023,2026-03-01 14:57:00,14,69.22,40.58,29.17,0
1070,2026-03-01 15:03:00,15,61.84,8.87,0.92,0
1013,2026-03-01 15:08:00,15,13.05,25.46,1.99,0
1055,2026-03-01 15:08:00,15,42.86,4.53,4.83,0
1094,2026-03-01 15:09:00,15,30.85,1.14,3.19,0
1023,2026-03-01 15:10:00,15,83.05,2.71,16.66,0
1045,2026-03-01 15:16:00,15,122.57,4.19,2.63,0
1094,2026-03-01 15:22:00,15,8.91,26.59,2.02,0
1099,2026-03-01 15:29:00,15,45214.38,2.74,3190.94,1
1006,2026-03-01 15:34:00,15,16.66,1.56,2.72,0
1089,2026-03-01 15:44:00,15,37915.71,5.78,3987.98,1
1069,2026-03-01 15:44:00,15,29.82,33.78,4.74,0
1095,2026-03-01 15:47:00,15,55.81,32.14,20.51,0
1002,2026-03-01 15:47:00,15,64.71,23.76,22.36,0
1016,2026-03-01 15:58:00,15,473.28,21.04,16.76,0
1089,2026-03-01 16:08:00,16,137.08,14.15,2.75,0
1065,2026-03-01 16:21:00,16,101.46,29.73,1.86,0
1097,2026-03-01 16:21:00,16,30.89,4.95,12.73,0
1082,2026-03-01 16:22:00,16,18.39,12.03,3.27,0
1061,2026-03-01 16:27:00,16,76.47,11.31,26.59,0
1056,2026-03-01 16:37:00,16,379.59,0.51,14.3,0
1036,2026-03-01 16:39:00,16,23.63,24.58,9.17,0
1059,2026-03-01 16:42:00,16,32.0,18.02,6.77,0
1071,2026-03-01 16:44:00,16,105.41,5.4,8.43,0
1077,2026-03-01 16:50:00,16,43.03,11.61,6.66,0
1021,2026-03-01 16:58:00,16,23.09,21.79,26.89,0
1019,2026-03-01 16:59:00,16,48770.52,34.81,2599.36,1
1043,2026-03-01 16:59:00,16,47.83,16.94,2.76,0
1040,2026-03-01 17:02:00,17,38.29,4.55,38.13,0
1028,2026-03-01 17:11:00,17,51.71,2.06,4.1,0
1004,2026-03-01 17:11:00,17,79.12,2.61,11.83,0
1052,2026-03-01 17:21:00,17,46.91,7.42,8.16,0
1051,2026-03-01 17:29:00,17,68.09,2.73,9.71,0
1075,2026-03-01 17:35:00,17,66.47,5.27,7.94,0
1057,2026-03-01 17:44:00,17,42.85,0.6,4.49,0
1059,2026-03-01 17:47:00,17,18.55,41.85,4.41,0
1053,2026-03-01 17:47:00,17,17.28,3.94,0.76,0
1081,2026-03-01 17:51:00,17,303.29,30.02,11.32,0
1053,2026-03-01 17:53:00,17,88.85,27.37,5.45,0
1066,2026-03-01 17:54:00,4,8.48,708.82,20.99,1
1082,2026-03-01 17:56:00,17,43963.31,2.4,2454.59,1
1047,2026-03-01 17:59:00,17,41.66,11.5,0.52,0
1025,2026-03-01 18:00:00,18,26.56,6.54,1.49,0
1016,2026-03-01 18:01:00,18,71.16,12.05,27.04,0
1092,2026-03-01 18:02:00,18,63.27,1.62,21.07,0
1073,2026-03-01 18:02:00,18,49565.59,1.03,2819.93,1
1020,2026-03-01 18:11:00,18,63.17,27.25,8.21,0
1039,2026-03-01 18:14:00,18,306.88,4.56,18.9,0
1039,2026-03-01 18:15:00,18,111.91,4.14,16.92,0
1001,2026-03-01 18:19:00,18,15.44,8.68,1.96,0
1067,2026-03-01 18:22:00,18,32.22,2.01,18.55,0
1048,2026-03-01 18:24:00,18,45.35,2.09,48.28,0
1057,2026-03-01 18:25:00,18,79.5,19.52,0.72,0
1072,2026-03-01 18:30:00,18,58.54,106.8,4.9,0
1025,2026-03-01 18:32:00,18,7.33,2.58,4.32,0
1063,2026-03-01 18:35:00,18,214.02,4.03,68.92,0
1046,2026-03-01 18:48:00,18,22.63,8.76,8.77,0
1002,2026-03-01 18:50:00,18,128.55,4.08,9.6,0
1038,2026-03-01 18:57:00,18,1337.29,12.47,17.66,0
1070,2026-03-01 19:10:00,19,19.6,4.53,13.96,0
1087,2026-03-01 19:11:00,19,43.95,5.19,22.07,0
1094,2026-03-01 19:15:00,19,59.33,2.03,2.97,0
1039,2026-03-01 19:20:00,19,78.29,4.7,3.49,0
1088,2026-03-01 19:21:00,19,6.42,9.38,4.88,0
1048,2026-03-01 19:38:00,19,144.94,48.6,8.03,0
1084,2026-03-01 19:44:00,19,143.11,4.22,11.82,0
1022,2026-03-01 19:53:00,19,264.46,2.72,3.9,0
1095,2026-03-01 19:55:00,19,9.83,8.21,6.6,0
1083,2026-03-01 19:55:00,19,93.89,4.08,2.15,0
1026,2026-03-01 20:12:00,20,68.78,5.06,11.9,0
1016,2026-03-01 20:14:00,20,28.71,4.59,7.76,0
1003,2026-03-01 20:17:00,20,233.74,5.58,3.88,0
1030,2026-03-01 20:18:00,20,44.77,5.75,1.09,0
1051,2026-03-01 20:22:00,20,174.39,0.96,1.29,0
1059,2026-03-01 20:23:00,20,153.99,6.32,12.12,0
1073,2026-03-01 20:25:00,20,120.53,14.11,1.07,0
1095,2026-03-01 20:34:00,20,151.18,28.44,7.18,0
1056,2026-03-01 20:34:00,20,272.16,3.89,0.54,0
1032,2026-03-01 20:38:00,20,49.79,14.8,0.1,0
1093,2026-03-01 20:39:00,20,7.5,3.01,7.26,0
1057,2026-03-01 20:42:00,20,105.53,7.41,9.16,0
1047,2026-03-01 20:44:00,20,25.1,21.02,1.16,0
1074,2026-03-01 20:44:00,20,226.46,2.91,16.37,0
1055,2026-03-01 20:45:00,20,60.81,4.47,27.28,0
1037,2026-03-01 20:45:00,20,50.88,28.57,8.23,0
1033,2026-03-01 20:50:00,20,73.98,25.26,2.95,0
1006,2026-03-01 20:57:00,20,66.76,5.32,1.97,0
1015,2026-03-01 20:58:00,20,153.47,4.94,5.58,0
1024,2026-03-01 21:03:00,21,42456.25,2.14,4263.35,1
1026,2026-03-01 21:04:00,21,3.65,17.38,1.28,0
1012,2026-03-01 21:26:00,21,50.25,3.02,16.41,0
1042,2026-03-01 21:33:00,21,226.21,5.67,1.94,0
1030,2026-03-01 21:39:00,21,67.17,4.81,13.12,0
1017,2026-03-01 21:40:00,21,27.75,7.08,0.58,0
1039,2026-03-01 21:41:00,21,83.43,15.78,1.7,0
1079,2026-03-01 21:50:00,21,39.8,6.32,6.88,0
1017,2026-03-01 21:50:00,21,117.17,120.2,25.8,0
1007,2026-03-01 21:52:00,21,31.94,5.33,1.54,0
1095,2026-03-01 21:56:00,21,39.74,6.55,24.98,0
1056,2026-03-01 22:00:00,22,9.35,11.44,17.58,0
1005,2026-03-01 22:07:00,22,18.02,9.62,16.88,0
1013,2026-03-01 22:13:00,22,45.14,6.72,7.4,0
1038,2026-03-01 22:33:00,22,50.55,3.61,6.93,0
1092,2026-03-01 22:34:00,22,12.17,8.43,1.48,0
1047,2026-03-01 22:38:00,22,180.13,5.18,4.36,0
1034,2026-03-01 22:39:00,22,61.64,3.16,1.71,0
1085,2026-03-01 22:40:00,1,7.09,1747.4,23.17,1
1091,2026-03-01 22:49:00,22,25.15,14.4,10.7,0
1008,2026-03-01 22:53:00,22,21.23,25.92,6.92,0
1070,2026-03-01 22:56:00,22,224.49,5.59,9.46,0
1093,2026-03-01 22:59:00,22,72.36,4.48,10.33,0
1030,2026-03-01 22:59:00,22,59.23,20.45,5.27,0
1013,2026-03-01 23:04:00,23,72.39,16.71,14.31,0
1007,2026-03-01 23:11:00,23,306.59,4.49,1.54,0
1031,2026-03-01 23:23:00,23,17.64,1.95,5.46,0
1062,2026-03-01 23:24:00,23,28.16,13.51,6.29,0
1053,2026-03-01 23:28:00,23,55.94,4.91,16.58,0
1028,2026-03-01 23:29:00,23,57.83,3.01,7.0,0
1049,2026-03-01 23:35:00,23,92.83,2.74,6.47,0
1084,2026-03-01 23:41:00,23,49.28,6.84,5.88,0
1053,2026-03-01 23:45:00,23,68.77,4.99,6.08,0
1071,2026-03-01 23:56:00,23,31.22,1.7,5.88,0
1046,2026-03-01 23:59:00,23,47.08,2.09,7.26,0
1057,2026-03-02 00:14:00,0,25.6,2.2,11.87,0
1013,2026-03-02 00:20:00,0,62.29,4.98,11.14,0
1061,2026-03-02 00:29:00,0,42.53,3.92,13.83,0
1097,2026-03-02 00:33:00,0,48.57,8.05,15.12,0
1000,2026-03-02 00:36:00,0,12.54,4.85,17.62,0
1020,2026-03-02 00:45:00,0,16.68,3.87,7.21,0
1022,2026-03-02 00:59:00,0,66.69,20.19,14.43,0
1039,2026-03-02 01:02:00,1,13.02,8.01,7.75,0
1031,2026-03-02 01:02:00,1,28.55,13.05,36.68,0
1020,2026-03-02 01:05:00,1,61.41,3.65,7.64,0
1002,2026-03-02 01:06:00,1,86.69,16.14,5.53,0
1072,2026-03-02 01:09:00,1,63.92,7.89,21.38,0
1012,2026-03-02 01:11:00,1,24.68,13.58,14.83,0
1019,2026-03-02 01:25:00,1,54.4,2.75,48.31,0
1075,2026-03-02 01:28:00,1,67.41,61.32,0.92,0
1015,2026-03-02 01:32:00,1,54.46,10.4,2.02,0
1071,2026-03-02 01:56:00,1,96.26,7.5,4.0,0
1013,2026-03-02 01:59:00,1,777.25,8.2,13.97,0
1053,2026-03-02 02:01:00,2,389.66,3.66,1.4,0
1091,2026-03-02 02:07:00,2,78.47,6.72,3.59,0
1081,2026-03-02 02:17:00,2,16.04,19.09,20.53,0
1093,2026-03-02 02:19:00,2,2.78,0.98,6.13,0
1037,2026-03-02 02:27:00,2,92.8,8.84,4.57,0
1037,2026-03-02 02:37:00,2,123.32,1.83,4.87,0
1011,2026-03-02 02:40:00,2,28054.74,9.85,934.88,1
1096,2026-03-02 02:40:00,2,18.47,47.1,8.08,0
1050,2026-03-02 02:47:00,2,44.6,3.46,32.21,0
1011,2026-03-02 02:47:00,2,153.39,0.63,0.72,0
1085,2026-03-02 02:47:00,2,45.01,0.94,10.08,0
1022,2026-03-02 02:47:00,2,36.62,6.23,32.89,0
1008,2026-03-02 02:54:00,2,18.67,1.85,36.44,0
1095,2026-03-02 02:57:00,2,60.04,18.29,0.97,0
1075,2026-03-02 02:57:00,2,41.72,7.52,0.23,0
1063,2026-03-02 03:00:00,3,95.65,3.26,12.87,0
1006,2026-03-02 03:00:00,3,87.11,14.73,1.42,0
1013,2026-03-02 03:02:00,3,47.02,7.04,9.48,0
1093,2026-03-02 03:06:00,3,59.22,11.86,4.9,0
1078,2026-03-02 03:09:00,3,46.76,7.7,9.05,0
1091,2026-03-02 03:14:00,3,35.52,1.22,1.58,0
1054,2026-03-02 03:17:00,3,88.93,5.03,13.56,0
1075,2026-03-02 03:23:00,3,47.64,6.72,45.07,0
1010,2026-03-02 03:25:00,3,58.23,5.23,2.91,0
1085,2026-03-02 03:28:00,3,87.44,6.45,15.53,0
1032,2026-03-02 03:32:00,3,96.31,1.92,39.75,0
1089,2026-03-02 03:38:00,3,28.0,14.98,8.85,0
1062,2026-03-02 03:39:00,3,578.8,8.94,61.56,0
1021,2026-03-02 03:43:00,3,21.03,2.69,7.12,0
1094,2026-03-02 03:47:00,3,108.72,6.09,7.26,0
1096,2026-03-02 03:49:00,3,52.67,3.82,16.33,0
1019,2026-03-02 04:14:00,4,16.09,49.51,2.77,0
1066,2026-03-02 04:15:00,4,196.36,1.78,2.26,0
1021,2026-03-02 04:21:00,4,40.95,7.55,12.82,0
1079,2026-03-02 04:31:00,4,16.16,29.48,0.03,0
1056,2026-03-02 04:45:00,4,137.74,2.02,3.3,0
1097,2026-03-02 04:45:00,4,45.83,3.66,8.67,0
1099,2026-03-02 04:46:00,4,143.34,4.24,4.22,0
1048,2026-03-02 04:48:00,4,201.84,1.1,1.32,0
1037,2026-03-02 04:55:00,4,35.49,15.89,5.29,0
1011,2026-03-02 05:00:00,5,228.23,21.1,16.18,0
1063,2026-03-02 05:06:00,5,32.56,25.08,0.16,0
1042,2026-03-02 05:10:00,5,147.42,12.87,1.07,0
1082,2026-03-02 05:13:00,5,20.09,32.48,11.79,0
1074,2026-03-02 05:14:00,5,59.96,27.33,4.8,0
1024,2026-03-02 05:16:00,5,12.14,2.17,1.61,0
1081,2026-03-02 05:26:00,5,141.21,5.46,17.18,0
1049,2026-03-02 05:29:00,5,44343.63,2.87,4375.09,1
1021,2026-03-02 05:33:00,5,50.22,9.79,21.13,0
1092,2026-03-02 05:34:00,5,56.72,41.09,25.81,0
1048,2026-03-02 05:36:00,5,45.93,3.53,35.72,0
1094,2026-03-02 05:38:00,5,126.49,6.67,5.57,0
1000,2026-03-02 05:40:00,5,22.54,6.6,13.61,0
1080,2026-03-02 05:43:00,5,69.11,3.7,51.79,0
1004,2026-03-02 05:45:00,5,74.18,4.43,3.69,0
1011,2026-03-02 05:49:00,5,74.49,3.18,11.83,0
1007,2026-03-02 05:59:00,5,404.76,30.15,5.88,0
1079,2026-03-02 06:06:00,6,232.94,9.74,0.63,0
1039,2026-03-02 06:10:00,6,15.13,6.59,12.15,0
1015,2026-03-02 06:16:00,6,43.1,9.26,8.06,0
1048,2026-03-02 06:32:00,6,224.85,21.92,7.99,0
1084,2026-03-02 06:43:00,6,16.26,2.58,9.91,0
1094,2026-03-02 06:45:00,6,39.42,3.94,2.16,0
1089,2026-03-02 06:45:00,6,41.95,6.65,0.8,0
1054,2026-03-02 06:45:00,6,13.95,4.43,1.13,0
1069,2026-03-02 06:48:00,6,194.34,16.3,0.44,0
1050,2026-03-02 06:52:00,6,40.5,10.82,5.76,0
1042,2026-03-02 06:54:00,6,19.65,10.69,3.28,0
1093,2026-03-02 07:00:00,7,5.42,17.76,5.1,0
1072,2026-03-02 07:08:00,7,7.99,88.94,4.05,0
1001,2026-03-02 07:08:00,7,85.03,3.26,11.55,0
1019,2026-03-02 07:15:00,7,151.89,45.28,4.47,0
1018,2026-03-02 07:23:00,7,14.01,6.74,7.89,0
1032,2026-03-02 07:25:00,7,207.73,3.05,25.63,0
1053,2026-03-02 07:25:00,7,39.27,30.71,20.53,0
1003,2026-03-02 07:32:00,7,488.6,4.42,21.06,0
1017,2026-03-02 07:34:00,7,145.68,2.79,20.74,0
1034,2026-03-02 07:42:00,7,19.84,5.21,7.07,0
1060,2026-03-02 07:43:00,7,92.76,24.06,10.11,0
1091,2026-03-02 07:43:00,7,79.51,6.11,12.04,0
1062,2026-03-02 07:46:00,7,123.55,11.41,1.0,0
1031,2026-03-02 07:48:00,7,87.82,18.28,9.68,0
1073,2026-03-02 07:48:00,7,31.84,3.34,41.25,0
1088,2026-03-02 07:49:00,7,108.92,34.57,7.21,0
1097,2026-03-02 07:49:00,7,12.35,8.87,20.43,0
1012,2026-03-02 07:50:00,7,40.34,15.73,19.08,0
1088,2026-03-02 07:53:00,7,301.45,4.63,5.71,0
1050,2026-03-02 07:59:00,7,99.19,10.79,12.97,0
1020,2026-03-02 07:59:00,7,28.44,2.4,0.35,0
1004,2026-03-02 08:02:00,8,61.48,4.44,0.94,0
